Order ID,Date,Status,Category,Qty,Amount,ship-state,Total revenue,Cost,Profit Margin,Profit
408-1482435-5202714,2024-01-05,Shipped - Delivered to Buyer,Set,1,788,CHHATTISGARH,788,440.23,44.13,347.77
408-4069830-3819562,2024-01-06,Shipped,Set,1,1281,WEST BENGAL,1281,527.25,58.84,753.75
402-0048138-1845122,2024-01-06,Shipped,Set,,1115,NAGALAND,,366.35,67.14,748.65
405-3441326-1516368,2024-01-06,Shipped,Top,,518,WEST BENGAL,,328.06,,189.94
171-7623384-8040337,2024-01-06,Shipped,Set,6,597,MAHARASHTRA,3582,2478.44,,1103.56
406-4878137-1126707,2024-01-06,Shipped,kurta,1,517,MAHARASHTRA,517,258.65,49.97,258.35
408-7165704-5643524,2024-01-06,Shipped,Ethnic Dress,1,699,UTTAR PRADESH,699,258.89,62.96,440.11
408-3484251-6901959,2024-01-06,Shipped,kurta,1,459,MAHARASHTRA,459,162.3,64.64,296.7
402-8746990-6412346,2024-01-06,Shipped,kurta,1,442,TAMIL NADU,442,249.07,43.65,192.93
408-3416118-1167564,2024-01-06,Shipped,Set,1,999,ARUNACHAL PRADESH,999,673.02,,325.98
407-9707366-3029944,2024-01-06,Cancelled,kurta,5,473.33,DELHI,2366.65,1181.23,50.09,1185.42
402-0150402-0900371,2024-01-06,Shipped,Western Dress,1,721,MADHYA PRADESH,721,308.62,57.2,412.38
404-9632124-1107550,2024-01-06,Shipped - Delivered to Buyer,Set,1,1233,ANDHRA PRADESH,1233,515.35,58.2,717.65
408-9281152-6213100,2024-01-06,Shipped,Top,1,665,TELANGANA,665,389.12,41.49,275.88
404-2262140-4696366,2024-01-06,Shipped,kurta,1,518,MAHARASHTRA,518,313.93,,204.07
403-5456917-5571511,2024-01-06,Cancelled,Western Dress,0,0,UTTAR PRADESH,0,0,,0
406-6386989-1689108,2024-01-06,Shipped - Delivered to Buyer,Set,1,,WEST BENGAL,,469.45,47.13,418.55
402-8519791-3706738,2024-01-06,Shipped,Set,,852,DELHI,,11545.63,58.94,16570.37
404-5337874-2284337,2024-01-06,Shipped,Set,1,568,KARNATAKA,568,232.41,59.08,335.59
406-9941718-1734719,2024-01-06,Shipped - Delivered to Buyer,kurta,3,544,KARNATAKA,1632,337.54,37.95,345.4191849
402-2211107-5096323,2024-01-06,Shipped,Set,,654,UTTAR PRADESH,,281.57,56.95,372.43
404-7774085-3780319,2024-01-06,Shipped,kurta,,376,TELANGANA,,230.1,38.8,145.9
407-4936046-5852304,2024-01-06,Cancelled,Set,0,1249.11,HARYANA,0,0,,0
406-5103760-7326749,2024-01-06,Shipped,kurta,1,432,Gujarat,432,216.33,49.92,215.67
406-3984186-5973150,2024-01-06,Shipped,Set,1,788,TAMIL NADU,788,386.73,50.92,401.27
403-7652993-1507525,2024-01-06,Shipped,Set,1,631,ODISHA,631,406.4,35.59,224.6
407-1069790-7240320,2024-01-06,Shipped,Top,1,574,TAMIL NADU,574,323.19,43.7,250.81
171-4350114-4299568,2024-01-06,Shipped - Delivered to Buyer,Top,,399,MAHARASHTRA,,162.28,59.33,236.72
407-0994909-4122733,2024-01-06,Shipped,kurta,6,696,RAJASTHAN,4176,2013.67,51.78,2162.33
402-5525660-2118707,2024-01-06,Shipped,kurta,4,376,TAMIL NADU,1504,226.45,39.77,212.0655889
408-4101226-7217932,2024-01-06,Shipped - Delivered to Buyer,kurta,1,459,UTTAR PRADESH,459,288.25,37.2,170.75
171-1851948-5476361,2024-01-06,Shipped,Set,1,1115,MANIPUR,1115,650.31,41.68,464.69
408-1298370-1920302,2024-01-07,Shipped - Delivered to Buyer,Set,3,771,MAHARASHTRA,2313,241.23,68.71,849.5553852
404-8745561-3169903,2024-01-07,Shipped,kurta,5,379,UTTAR PRADESH,1895,703.47,62.88,1191.53
402-8210765-3935569,2024-01-07,Shipped,Western Dress,1,885,MADHYA PRADESH,885,566.6,35.98,318.4
171-1224053-5752314,2024-01-07,Cancelled,Top,0,463.81,KARNATAKA,0,0,,0
404-2262140-4696366,2024-01-07,Shipped,kurta,1,295,MAHARASHTRA,295,170.68,42.14,124.32
403-6062596-1220349,2024-01-07,Shipped,kurta,1,399,GOA,399,193.65,51.47,205.35
406-4878137-1126707,2024-01-07,Shipped,kurta,1,517,MAHARASHTRA,517,258.65,49.97,258.35
403-2166075-2254703,2024-01-07,Shipped,Set,1,563,KARNATAKA,563,296.77,47.29,266.23
402-3628566-9688333,2024-01-07,Shipped,Set,1,,MAHARASHTRA,,369.58,43.49,284.42
405-9112089-3379536,2024-01-07,Cancelled,kurta,,0,MAHARASHTRA,,0,,0
403-5209693-1173944,2024-01-07,Shipped,kurta,1,484,UTTAR PRADESH,484,150.25,68.96,333.75
406-4878137-1126707,2024-01-07,Shipped,kurta,1,517,MAHARASHTRA,517,258.65,49.97,258.35
404-6578109-5618751,2024-01-07,Shipped - Delivered to Buyer,kurta,1,295,KARNATAKA,295,138.2,,156.8
405-2142542-0941949,2024-01-07,Shipped,kurta,,363,TELANGANA,,180.34,50.32,182.66
171-3460653-0171519,2024-01-07,Shipped,Top,1,487,HARYANA,487,230.02,52.77,256.98
405-7755803-4729935,2024-01-07,Shipped,kurta,,399,KARNATAKA,,207.72,47.94,191.28
402-2764952-1492318,2024-01-07,Shipped - Delivered to Buyer,kurta,1,499,UTTAR PRADESH,499,286.28,42.63,212.72
405-5513694-8146768,2024-01-07,Shipped - Delivered to Buyer,kurta,,399,MAHARASHTRA,,217.76,45.42,181.24
407-9863928-5979501,2024-01-07,Shipped - Delivered to Buyer,kurta,1,353,KERALA,353,118.32,66.48,234.68
402-5302912-6805151,2024-01-07,Shipped - Delivered to Buyer,Western Dress,,725,TELANGANA,,494.2,31.83,230.8
405-0732969-3941948,2024-01-07,Shipped - Delivered to Buyer,Set,1,583,WEST BENGAL,583,210.33,63.92,372.67
404-0634392-1837110,2024-01-07,Cancelled,Top,0,0,MAHARASHTRA,0,0,,0
407-6599093-6553153,2024-01-07,Shipped - Delivered to Buyer,Bottom,3,377,WEST BENGAL,1131,174.76,,392.8298906
171-5719664-5449151,2024-01-07,Cancelled,Set,1,597,KARNATAKA,597,199.01,66.66,397.99
171-4137548-0481151,2024-01-08,Cancelled,kurta,0,0,Gujarat,0,0,,0
406-5648244-8317954,2024-01-08,Shipped,Top,1,487,DELHI,487,236.74,51.39,250.26
402-7595162-9129931,2024-01-08,Shipped,Set,1,788,MAHARASHTRA,788,246.14,68.76,541.86
404-2262140-4696366,2024-01-08,Shipped,kurta,1,518,MAHARASHTRA,518,313.93,,204.07
402-8288606-4313118,2024-01-08,Shipped,kurta,1,517,HIMACHAL PRADESH,517,204.52,60.44,312.48
171-5719664-5449151,2024-01-08,Cancelled,Set,1,597,KARNATAKA,597,199.01,66.66,397.99
408-3484251-6901959,2024-01-08,Shipped,kurta,1,459,MAHARASHTRA,459,162.3,64.64,296.7
405-2072502-4089911,2024-01-08,Shipped,Set,1,599,HARYANA,599,269.51,,329.49
408-3478480-0881162,2024-01-08,Shipped,Set,1,1126,UTTAR PRADESH,1126,608.29,45.98,517.71
402-2155477-9353103,2024-01-08,Shipped,Set,1,1173,ODISHA,1173,819.78,30.11,353.22
406-8413944-2634744,2024-01-08,Shipped,kurta,,353,TELANGANA,,198.74,43.7,154.26
403-2079921-1244300,2024-01-08,Cancelled,kurta,8,475,MADHYA PRADESH,3800,1502.85,60.45,2297.15
171-3049339-2085136,2024-01-08,Shipped,kurta,1,375,ASSAM,375,154.57,58.78,220.43
171-9371949-6030721,2024-01-08,Shipped,Set,1,,WEST BENGAL,,338.7,43.27,258.3
406-4878137-1126707,2024-01-08,Shipped,kurta,1,517,MAHARASHTRA,517,258.65,49.97,258.35
408-3874942-9917143,2024-01-08,Shipped,Set,1,1126,UTTAR PRADESH,1126,724.64,35.64,401.36
407-4737202-9096304,2024-01-08,Shipped - Delivered to Buyer,Western Dress,1,725,BIHAR,725,335.05,53.79,389.95
408-4101226-7217932,2024-01-08,Shipped - Delivered to Buyer,kurta,1,459,UTTAR PRADESH,459,288.25,37.2,170.75
407-8466904-3461908,2024-01-08,Shipped,Top,1,,MAHARASHTRA,,135.94,64.87,251.06
406-0715107-8168308,2024-01-09,Shipped,Set,1,1186,UTTARAKHAND,1186,800.74,32.48,385.26
406-6199849-7523514,2024-01-09,Shipped,kurta,1,406,KERALA,406,125.38,,280.62
407-3847456-6656309,2024-01-09,Shipped,Set,1,968,BIHAR,968,630.75,34.84,337.25
402-5525660-2118707,2024-01-09,Shipped,kurta,4,376,TAMIL NADU,1504,226.45,39.77,212.0655889
406-2966654-4672325,2024-01-09,Shipped,kurta,3,692,UTTAR PRADESH,2076,784.35,62.22,1291.65
406-1530134-2105912,2024-01-09,Shipped,kurta,1,518,KARNATAKA,518,333.01,35.71,184.99
402-0503400-6235514,2024-01-09,Shipped,Set,1,736,TAMIL NADU,736,464,36.96,272
407-0542879-1795554,2024-01-09,Shipped - Delivered to Buyer,kurta,,399,HARYANA,,249.08,37.57,149.92
407-4737202-9096304,2024-01-09,Shipped - Delivered to Buyer,Western Dress,1,725,BIHAR,725,335.05,53.79,389.95
408-3870331-6287517,2024-01-09,Shipped,kurta,4,399,UTTARAKHAND,1596,158.89,,416.4921369
406-6180074-2350757,2024-01-09,Shipped,Set,1,684,KARNATAKA,684,370.46,45.84,313.54
404-5337874-2284337,2024-01-09,Shipped,Set,1,568,KARNATAKA,568,232.41,59.08,335.59
406-7779874-9136347,2024-01-09,Shipped,Set,1,1115,UTTARAKHAND,1115,439.73,60.56,675.27
405-2788163-4515521,2024-01-09,Shipped - Delivered to Buyer,kurta,1,342,MADHYA PRADESH,342,145.96,57.32,196.04
407-9863928-5979501,2024-01-09,Shipped - Delivered to Buyer,kurta,1,353,KERALA,353,118.32,66.48,234.68
405-9112089-3379536,2024-01-09,Cancelled,kurta,,0,MAHARASHTRA,,0,,0
406-6199849-7523514,2024-01-09,Shipped,kurta,1,406,KERALA,406,125.38,,280.62
406-2849582-6531553,2024-01-09,Shipped,Top,1,,UTTAR PRADESH,,244.01,52.34,267.99
405-4059216-4541150,2024-01-09,Shipped,Set,1,597,TELANGANA,597,391,34.51,206
402-0503400-6235514,2024-01-09,Shipped,Set,1,736,TAMIL NADU,736,464,36.96,272
402-3628566-9688333,2024-01-09,Shipped,Set,1,,MAHARASHTRA,,369.58,43.49,284.42
402-0150402-0900371,2024-01-09,Shipped,Western Dress,1,721,MADHYA PRADESH,721,308.62,57.2,412.38
408-6428766-2839536,2024-01-09,Shipped - Delivered to Buyer,kurta,1,487,ODISHA,487,239.65,,247.35
405-4059216-4541150,2024-01-09,Shipped,Set,1,597,TELANGANA,597,391,34.51,206
406-5103760-7326749,2024-01-09,Shipped,kurta,1,432,Gujarat,432,216.33,49.92,215.67
405-4059216-4541150,2024-01-10,Shipped,Set,1,597,TELANGANA,597,391,34.51,206
408-4069830-3819562,2024-01-10,Shipped,Set,1,1281,WEST BENGAL,1281,527.25,58.84,753.75
405-0732969-3941948,2024-01-10,Shipped - Delivered to Buyer,Set,1,583,WEST BENGAL,583,210.33,63.92,372.67
405-4059216-4541150,2024-01-10,Shipped,Set,1,597,TELANGANA,597,391,34.51,206
171-9198151-1101146,2024-01-10,Shipped - Delivered to Buyer,kurta,1,406,KARNATAKA,406,270.99,33.25,135.01
405-4908072-0260360,2024-01-10,Shipped - Delivered to Buyer,kurta,1,579,KARNATAKA,579,404.69,,174.31
402-6750101-3923558,2024-01-10,Shipped,Set,1,597,KERALA,597,232.46,,364.54
402-1752649-2274748,2024-01-10,Shipped,kurta,,390,KARNATAKA,,132.21,,257.79
171-1887627-9813158,2024-01-10,Shipped,kurta,,,ANDHRA PRADESH,,202.64,46.11,173.36
407-3554912-7244363,2024-01-10,Shipped,kurta,1,685,ASSAM,685,216.88,68.34,468.12
407-4737202-9096304,2024-01-10,Shipped - Delivered to Buyer,Western Dress,1,725,BIHAR,725,335.05,53.79,389.95
408-9845791-1393151,2024-01-10,Shipped,Set,1,597,PUNJAB,597,389.59,34.74,207.41
405-4908072-0260360,2024-01-10,Shipped - Delivered to Buyer,kurta,1,579,KARNATAKA,579,404.69,,174.31
408-7138000-9728362,2024-01-10,Shipped,Set,1,1033,NAGALAND,1033,451.29,56.31,581.71
404-5337874-2284337,2024-01-10,Shipped,Set,1,568,KARNATAKA,568,232.41,59.08,335.59
171-4350114-4299568,2024-01-11,Shipped - Delivered to Buyer,Top,,399,MAHARASHTRA,,162.28,59.33,236.72
407-9863928-5979501,2024-01-11,Shipped - Delivered to Buyer,kurta,1,353,KERALA,353,118.32,66.48,234.68
406-2966654-4672325,2024-01-11,Shipped,kurta,3,692,UTTAR PRADESH,2076,784.35,62.22,1291.65
404-0696150-3898703,2024-01-11,Shipped - Delivered to Buyer,Set,1,499,MAHARASHTRA,499,238.5,52.2,260.5
406-7261451-5682727,2024-01-11,Shipped,Western Dress,1,744,KARNATAKA,744,373.43,,370.57
404-0363929-8015528,2024-01-11,Shipped,Top,1,588,MAHARASHTRA,588,340.09,,247.91
408-7310428-6047538,2024-01-11,Shipped,Western Dress,1,859,KARNATAKA,859,554.93,35.4,304.07
406-8961316-8137943,2024-01-11,Shipped - Delivered to Buyer,Set,1,597,ASSAM,597,329.23,44.85,267.77
407-0994909-4122733,2024-01-11,Shipped,kurta,6,696,RAJASTHAN,4176,2013.67,51.78,2162.33
408-9720884-9553122,2024-01-11,Shipped,kurta,3,487,ODISHA,1461,1014.79,30.54,446.21
171-1987024-2709164,2024-01-11,Shipped,Set,1,660,ANDHRA PRADESH,660,362.49,45.08,297.51
407-5096970-7475550,2024-01-11,Cancelled,Set,0,1902.86,UTTAR PRADESH,0,0,,0
406-5334922-9670748,2024-01-11,Shipped,kurta,,406,KARNATAKA,,235.7,41.95,170.3
406-2966654-4672325,2024-01-11,Shipped,kurta,3,692,UTTAR PRADESH,2076,784.35,62.22,1291.65
171-6222676-0740318,2024-01-11,Shipped,kurta,1,435,DELHI,435,234.64,46.06,200.36
405-0286717-7761132,2024-01-11,Shipped,kurta,6,299,TELANGANA,1794,865.27,51.77,928.73
408-6357132-2310703,2024-01-11,Shipped,Set,1,696,JAMMU & KASHMIR,696,472.18,,223.82
408-3416118-1167564,2024-01-11,Shipped,Set,1,999,ARUNACHAL PRADESH,999,673.02,,325.98
406-8961316-8137943,2024-01-11,Shipped - Delivered to Buyer,Set,,549,ASSAM,,218.5,60.2,330.5
405-0732969-3941948,2024-01-11,Shipped - Delivered to Buyer,Set,1,583,WEST BENGAL,583,210.33,63.92,372.67
402-6566640-5417947,2024-01-11,Shipped,Western Dress,1,771,TELANGANA,771,489.95,36.45,281.05
171-2705563-6985105,2024-01-11,Shipped,Set,6,692,NAGALAND,4152,1514.96,63.51,2637.04
407-3847456-6656309,2024-01-11,Shipped,Set,1,968,BIHAR,968,630.75,34.84,337.25
407-4235449-1353916,2024-01-11,Shipped - Delivered to Buyer,Set,1,999,UTTAR PRADESH,999,411.29,58.83,587.71
402-2703790-2816329,2024-01-11,Cancelled,Set,0,1278.57,JHARKHAND,0,0,,0
404-8745561-3169903,2024-01-11,Shipped,kurta,5,379,UTTAR PRADESH,1895,703.47,62.88,1191.53
171-0131752-2560336,2024-01-11,Shipped - Delivered to Buyer,Set,1,1399,UTTAR PRADESH,1399,714.1,,684.9
407-4235449-1353916,2024-01-11,Shipped - Delivered to Buyer,Set,1,999,UTTAR PRADESH,999,411.29,58.83,587.71
403-6062596-1220349,2024-01-11,Shipped,kurta,1,399,GOA,399,193.65,51.47,205.35
403-4845285-4565113,2024-01-11,Shipped,Top,1,563,JAMMU & KASHMIR,563,318.38,43.45,244.62
408-3870331-6287517,2024-01-11,Shipped,kurta,1,399,UTTARAKHAND,399,207.19,,191.81
171-3049339-2085136,2024-01-11,Shipped,kurta,1,375,ASSAM,375,154.57,58.78,220.43
403-4367956-2849158,2024-01-12,Shipped,kurta,2,368,DELHI,736,197.19,46.42,249.7727088
171-2134173-5385136,2024-01-12,Shipped,kurta,3,782,KARNATAKA,2346,491.42,37.16,360.2699187
406-9941718-1734719,2024-01-12,Shipped - Delivered to Buyer,kurta,5,544,KARNATAKA,2720,337.54,37.95,407.2389622
405-9928526-2470747,2024-01-12,Shipped,Set,2,1115,TELANGANA,2230,527.14,52.72,688.4594771
171-1584788-8864335,2024-01-12,Shipped - Delivered to Buyer,Set,,,MAHARASHTRA,,742.52,32.44,356.48
404-6513062-3876305,2024-01-12,Shipped - Delivered to Buyer,kurta,,376,TAMIL NADU,,186.88,50.3,189.12
407-5776821-9327552,2024-01-12,Shipped,Set,3,1133,MAHARASHTRA,3399,416.4,63.25,973.0013975
402-8519791-3706738,2024-01-12,Shipped,Set,,852,DELHI,,11545.63,58.94,16570.37
